Organization Name,Homepage URL,Last Funding Type,Last Funding Amount,Last Funding Date
BreezeBio,https://breezebio.com,Series B,"$60,000,000",2026-02-25
PlayerZero,https://www.playerzero.ai,Series A,"$15,000,000",2025-07-30
Perelel,https://perelelhealth.com,Series A,"$27,000,000",2025-11-20
Clarasight,https://www.clarasight.com/,Series A,"$11,500,000",2026-04-28
Yuzu Health,https://yuzu.health,Series A,"$35,000,000",2026-04-06
Talino Fintech Foundry,https://www.talinoventures.com,Series A,"$7,500,000",2026-03-19
Mem0,https://mem0.ai,Series A,"$20,000,000",2025-10-28
Crossbow Therapeutics,https://www.crossbowtx.com,Series B,"$77,000,000",2026-03-18
Cognichip,https://www.cognichip.ai,Series A,"$60,000,000",2026-04-01
Circular Genomics,https://www.circulargenomics.com,Series A,"$15,000,000",2025-12-01
Beacon Biosignals,https://beacon.bio,Series B,"$11,000,000",2026-04-06
april,https://www.getapril.com,Series B,"$38,000,000",2025-07-23
Handle,https://handle.com/,Series B,"$27,000,000",2026-05-22
Mastra,https://mastra.ai/,Series A,"$22,000,000",2026-04-09
Monarch Quantum,https://www.monarchquantum.com,Series A,"$55,000,000",2026-03-31
Acelab,https://acelabusa.com,Series A,"$16,567,158",2025-09-30
Dispatch,https://www.dispatch.io/,Series A,"$18,000,000",2025-09-04
Reveal Technology,https://www.revealtech.ai/,Series B,"$30,000,000",2025-07-29
Airis Labs,https://www.airis-labs.com/,Series B,"$31,000,000",2026-05-27
Pursuit,https://pursuit.us,Series A,"$22,000,000",2026-04-29
Onyx Security,https://www.onyx.security,Series A,"$35,000,000",2026-03-12
Fesarius Therapeutics,https://www.fesariustherapeutics.com,Series A,"$20,000,000",2026-06-10
Axion,https://www.axion.com,Series B,"$37,000,000",2025-12-15
TULU,https://www.tulu.io,Series A,"$17,000,000",2025-11-19
Juvena Therapeutics,https://www.juvenatherapeutics.com,Series B,"$33,500,000",2026-01-12
SimpliFed,https://www.simplifed.com,Series A,"$10,800,000",2026-04-07
Consensus,https://consensus.app,Series B,"$30,000,000",2026-05-11
Alaffia Health,https://www.alaffiahealth.com,Series B,"$55,000,000",2026-02-03
Humanly.io,https://humanly.io/,Series B,"$25,000,000",2026-04-08
LighthouseAI,https://lighthouseai.com/,Series A,"$8,000,000",2026-04-24
NetBox Labs,https://netboxlabs.com/,Series B,"$35,000,000",2025-07-14
Ocean,https://ocean.insure,Series A,"$20,000,000",2026-05-19
Tamarind Bio,https://www.tamarind.bio/,Series A,"$13,600,000",2026-02-24
Serval,https://www.serval.com,Series B,"$75,000,000",2025-12-11
Vyriad,https://www.vyriad.com/,Series B,"$25,000,000",2025-12-23
Osteoboost,https://osteoboost.com/,Series A,"$8,000,000",2026-04-09
BrainCheck,https://www.braincheck.com,Series A,"$13,000,000",2026-02-26
Courtyard,https://courtyard.io,Series A,"$30,000,000",2025-07-24
Sixfold AI,https://www.sixfold.ai,Series B,"$30,000,000",2026-01-29
Sage Geosystems,https://www.sagegeosystems.com,Series B,"$97,000,000",2026-01-21
Keebler Health,https://keebler.health,Series A,"$16,000,000",2026-04-15
Clairity,https://clairity.com,Series B,"$43,000,000",2025-11-13
Letter AI,https://www.letter.ai,Series B,"$40,000,000",2026-02-24
Latent,https://latenthealth.com,Series A,"$80,000,000",2026-03-18
Hyphen,https://usehyphen.com/,Series B,"$35,000,000",2025-08-13
Nervonik,https://nervonik.com/,Series B,"$52,500,000",2026-04-27
BrightAI,https://www.bright.ai,Series A,"$51,000,000",2025-07-18
Kalogon,https://www.kalogon.com,Series A,"$5,750,000",2026-06-04
Tracebit,https://tracebit.com,Series A,"$20,000,000",2026-03-17
Wheel the World,https://wheeltheworld.com,Series A,"$11,000,000",2026-02-25
Curve Biosciences,https://www.curvebio.com,Series A,"$40,000,000",2025-10-29
Nixtla,https://www.nixtla.io/,Series A,"$16,000,000",2025-12-16
Checkbox,https://www.checkbox.ai,Series A,"$23,000,000",2026-01-28
Mediar Therapeutics,https://www.mediartx.com,Series B,"$76,000,000",2026-01-07
Curi Bio,https://www.curibio.com,Series B,"$10,000,000",2025-12-02
Excellergy,https://excellergy.com,Series A,"$70,000,000",2025-10-13
PeakMetrics,https://www.peakmetrics.com,Series A,"$6,000,000",2026-04-09
Synthpop,https://www.synthpop.ai,Series A,"$15,000,000",2026-02-03
Forecastr,https://www.forecastr.co,Series A,"$7,000,000",2026-05-19
Mezcla,https://eatmezcla.com,Series B,"$9,500,000",2026-03-02
Scalvy,https://www.scalvy.com/,Series A,"$13,900,000",2026-03-26
Tutor Intelligence,https://tutorintelligence.com/,Series A,"$34,000,000",2025-12-01
"Ares Interactive, Inc.",https://www.aresinteractive.com,Series A,"$70,000,000",2026-02-03
Joy,https://joy.co,Series A,"$14,000,000",2025-11-12
AWOL Vision,https://www.awolvision.com,Series B,,2026-04-05
Radial,https://meetradial.co,Series A,"$50,000,000",2025-12-09
Mine,https://usemine.com/,Series A,"$14,000,000",2026-01-26
Ernesta,https://www.ernestarugs.com,Series B,"$20,000,000",2026-03-11
Wispr Flow,https://wisprflow.ai,Series A,"$25,000,000",2025-11-20
Nectir,https://www.nectir.io/,Series A,"$12,500,000",2026-03-10
Golden Child,https://mygoldenchild.com/,Series A,"$37,000,000",2026-04-28
Deccan AI,https://www.deccan.ai,Series A,"$25,000,000",2026-03-25
Xscape Photonics,https://www.xscapephotonics.com/,Series A,"$37,000,000",2026-03-11
Deeptune,https://deeptune.ai,Series A,"$43,000,000",2026-03-19
Neros Technologies,https://www.neros.tech,Series B,"$75,000,000",2025-11-10
Artemis,https://artemissecurity.com,Series A,"$55,000,000",2026-04-15
Rivet Industries,https://www.rivet.us/,Series A,"$57,538,804",2026-03-31
RIIG,https://www.riigtech.com,Series A,"$6,000,000",2026-04-21
Handl Health,https://www.handlhealth.com/,Series A,"$14,200,000",2026-02-23
Auctor,https://getauctor.com,Series A,"$20,000,000",2026-04-15
Gridware,https://gridware.io,Series B,"$55,000,000",2025-11-17
Amigo AI,https://amigo.ai,Series A,"$11,000,000",2026-03-10
Luminai,https://www.luminai.com,Series B,"$38,000,000",2026-04-09
Rainforest,https://www.rainforestpay.com,Series B,"$29,000,000",2025-09-05
Newo.ai,https://newo.ai,Series A,"$25,000,000",2026-02-10
Seasats,https://seasats.com,Series A,"$20,000,000",2026-02-17
ProphetX,https://www.prophetx.co/,Series B,"$10,000,000",2025-10-07
Carecubes,https://www.carecubes.com,Series A,"$6,500,000",2026-03-19
Variance,https://www.variance.com,Series A,"$21,500,000",2026-03-31
Neomorph,https://neomorph.com,Series B,"$100,000,000",2026-04-13
Monk,https://monk.com/,Series A,"$25,000,000",2026-04-21
Fleetzero,https://www.shipfleetzero.com,Series A,"$43,000,000",2026-01-16
Lemurian Labs,https://www.lemurianlabs.com,Series A,"$28,000,000",2025-12-03
Cybord,https://www.cybord.ai,Series A,"$7,000,000",2026-04-28
Arbor Energy,https://arbor.co,Series A,"$55,000,000",2025-10-21
Ultralytics,https://www.ultralytics.com,Series A,"$30,000,000",2025-09-17
Veracity,https://veracityselfcare.com,Series A,"$6,000,000",2025-06-17
When Insurance,https://www.forwhen.com,Series A,"$10,200,000",2026-01-30
Wisdom,https://www.withwisdom.com,Series A,"$21,000,000",2025-08-20
OpenHands,https://www.openhands.one,Series A,"$18,800,000",2025-11-18
Collov Labs,https://collovlabs.com,Series A,"$23,000,000",2026-04-21
Basic Capital,https://www.basiccapital.com,Series A,"$25,000,000",2025-08-18
Dataro,https://dataro.io/,Series A,"$14,280,000",2026-02-17
Normal Computing,https://www.normalcomputing.com/,Series B,"$50,000,000",2026-03-25
Azra AI,https://www.azra-ai.com/,Series A,"$7,945,773",2025-07-03
BIG WATT DIGITAL LLC,https://bigwattdigital.com,Series A,"$31,400,984",2026-01-15
Nominal,https://www.nominal.so,Series A,"$20,000,000",2025-07-09
Arpio,https://arpio.io,Series A,"$15,000,000",2026-06-03
Fluency,https://www.fluency.inc,Series A,"$40,000,000",2025-12-16
Freeform,https://freeformfuture.com,Series B,"$67,000,000",2026-01-07
Medra AI,https://www.medra.ai,Series A,"$52,000,000",2025-12-11
Heven AeroTech,https://www.hevendrones.com/,Series B,"$100,000,000",2025-11-24
Lucid Bots,https://www.lucidbots.com,Series B,"$20,000,000",2026-03-25
Console,https://console.com,Series A,"$23,000,000",2025-09-16
Cambio,https://www.cambio.ai,Series A,"$18,000,000",2026-01-22
Treeline,https://www.treeline.ai/,Series A,"$25,000,000",2026-03-31
Alex AI,https://www.alex.com,Series A,"$17,000,000",2025-09-29
Warp,https://wearewarp.com/,Series A,"$10,000,000",2025-06-12
Quartermaster AI,https://www.quartermaster.us/,Series A,"$43,000,000",2026-05-20
Cosmos,https://cosmos.so,Series A,"$15,000,000",2026-01-20
Dots,https://usedots.com/,Series A,"$8,900,000",2026-02-25
Critical Loop,https://www.criticalloop.com,Series A,"$26,000,000",2026-04-13
Hilbert's AI,https://www.hilberts.ai,Series A,"$28,000,000",2026-04-15
Fuse,https://www.fusefinance.com,Series A,"$25,000,000",2026-03-16
JuliaHub,https://juliahub.com,Series B,"$65,000,000",2026-04-30
MEND,https://mend.me,Series A,"$20,000,000",2025-12-11
NODA AI,https://www.nodaintelligence.ai/,Series A,"$25,000,000",2026-02-26
Attention,https://www.attention.com,Series B,"$21,558,997",2026-04-10
Rowspace,https://rowspace.ai,Series A,"$50,000,000",2026-02-25
Unnatural Products,https://www.unnaturalproducts.com,Series B,"$45,000,000",2026-03-16
Aureka Biotechnologies,https://www.aurekabio.com,Series A,"$35,000,000",2026-04-28
Gradial,https://www.gradial.com,Series B,"$35,000,000",2025-12-03
PactFi,https://www.pactfi.com,Series A,"$25,000,000",2026-03-10
iCOUNTER,https://www.icounter.com/,Series A,"$30,000,000",2025-07-16
NuCicer,https://nucicer.com,Series A,"$11,500,000",2025-07-30
Strala Group,https://www.strala.ai/,Series A,"$51,342,804",2026-04-02
Gimlet Labs,https://gimletlabs.ai,Series A,"$80,000,000",2026-03-23
Highlight,https://highlightai.com,Series A,"$40,000,000",2026-03-24
Assiduus Global,https://www.assiduusglobal.com,Series B,"$25,000,000",2026-03-19
Parasail,https://www.parasail.io,Series A,"$32,000,000",2026-04-15
Gyde,https://gydehealth.ai/,Series A,"$60,000,000",2026-01-28
Agency AI,https://agency.inc/,Series A,"$20,000,000",2025-11-12
Axiamatic,https://www.axiamatic.com,Series A,"$54,000,000",2026-03-11
Lio,https://lio.ai,Series A,"$30,000,000",2026-03-05
Joyful Health,https://www.joyfulhealth.com/,Series A,"$17,000,000",2026-04-16
Trillium Renewable Chemicals,https://www.trilliumchemicals.com/,Series B,"$13,000,000",2026-05-05
Efficient Computer,https://efficient.computer,Series A,"$60,000,000",2026-02-26
Jesse & Ben’s,https://www.jesseandbens.com/,Series A,"$10,000,000",2026-05-07
Coral Care,https://www.joincoralcare.com,Series A,"$13,000,000",2026-02-23
Neok Bio,https://www.neokbio.com/,Series A,"$25,000,000",2026-03-30
Didero,https://www.didero.ai,Series A,"$30,000,000",2026-02-12
Third Way Health,https://thirdway.health,Series A,"$15,000,000",2026-02-26
vijil,https://www.vijil.ai,Series A,"$17,000,000",2025-11-25
Opaque Systems,https://opaque.co/,Series B,"$24,000,000",2026-02-12
TitanX,https://www.titanx.io,Series A,"$27,000,000",2026-01-20
Archil,https://archil.com,Series A,"$11,000,000",2026-04-20
Natilus,https://natilus.co,Series A,"$28,000,000",2026-02-10
Tombot,https://www.tombot.com,Series A,"$6,100,000",2025-06-12
Parallel Learning,https://www.parallellearning.com/,Series B,"$20,000,000",2025-12-09
DataBahn,https://databahn.ai,Series A,"$17,249,992",2025-06-26
Sandbar,https://sandbar.com/,Series A,"$23,000,000",2026-03-10
Hanover Park,https://www.hanoverpark.com,Series A,"$27,000,000",2026-03-18
daydream Labs,https://www.withdaydream.com/,Series A,"$15,000,000",2026-04-02
BackOps AI,https://backops.ai,Series A,"$27,499,981",2026-03-12
Precede Biosciences,https://www.precede.bio,Series B,"$63,500,000",2026-01-12
NanoTech Materials,https://www.nanotechmaterials.com,Series A,"$29,400,000",2026-04-15
Plantd,https://plantdmaterials.com,Series B,"$22,000,000",2025-09-29
GoTu,https://gotu.com,Series A,"$45,000,000",2025-11-18
Nimble Way,https://www.nimbleway.com,Series B,"$47,000,000",2026-02-24
Vector,https://vector.co/,Series A,"$10,000,000",2026-05-13
Spiral Therapeutics,https://www.spiraltx.com,Series B,"$27,000,000",2026-04-14
WeatherPromise,https://weatherpromise.com,Series A,"$12,800,000",2026-01-13
Gambit Security,https://gambit.security,Series A,"$56,000,000",2026-02-25
Turnstile,https://turnstile.ai/,Series A,"$29,000,000",2026-02-05
YSE Beauty,https://www.ysebeauty.com,Series A,"$15,000,000",2025-12-16
Northslope,https://northslope.com,Series A,"$22,000,000",2026-01-29
NetFoundry,https://www.netfoundry.io,Series A,"$15,000,000",2025-11-24
E2B,https://e2b.dev,Series A,"$21,000,000",2025-07-28
Lighthouse Pharma,https://www.lighthousepharma.com,Series A,"$15,206,800",2026-04-23
Flying Tulip,https://flyingtulip.com,Series A,"$25,500,000",2026-01-29
Reclaim Security,https://reclaim.security/,Series A,"$20,000,000",2026-03-04
status,https://www.statusai.com/,Series A,"$17,000,000",2026-05-19
Gruve,https://www.gruve.ai,Series A,"$50,000,000",2026-02-03
Certify,https://www.certifyos.com,Series B,"$40,000,000",2025-06-26
PineTree Therapeutics,https://www.pinetreetx.com/,Series B,"$47,000,000",2025-10-28
Sigma360,https://www.sigma360.com,Series B,"$17,300,000",2026-03-10
Flair,https://flair.co,Series B,"$5,700,000",2026-03-31
Brandlight,https://www.brandlight.ai,Series A,"$30,000,000",2026-02-11
Anterior,https://www.anterior.com/,Series B,"$40,000,000",2026-02-12
Avisi Technologies,https://www.avisitech.com,Series A,"$10,786,700",2026-02-25
AnySignal,https://www.anysignal.com,Series A,"$24,000,000",2025-12-09
Blossom Health,https://www.joinblossomhealth.com/,Series A,"$20,000,000",2026-03-26
Mosaic,https://mosaic.pe,Series A,"$18,437,489",2026-04-07
Kore,https://www.kore.inc,Series B,"$40,000,000",2026-03-03
FLORA,https://www.florafauna.ai,Series A,"$42,000,000",2026-01-27
BlueFlag Security,https://www.blueflagsecurity.com,Series A,"$16,500,000",2026-03-23
Heaviside Industries,https://www.theheaviside.com/,Series A,"$28,000,000",2026-05-11
The San Francisco Compute Company,https://sfcompute.com/,Series A,"$40,000,000",2025-11-26
Chowbus,https://www.chowbus.com,Series B,"$81,299,979",2026-02-11
Flip CX,https://flipcx.com,Series A,"$20,000,000",2026-01-13
Avantos,https://avantos.ai,Series A,"$25,000,000",2026-02-18
AvoMD,https://www.avomd.com/,Series A,"$10,000,000",2026-03-31
Biobeat,https://www.bio-beat.com,Series B,"$50,000,000",2025-12-30
Array Labs,https://www.arraylabs.io,Series A,"$20,000,000",2026-01-05
Zero Homes,https://www.zerohomes.io,Series A,"$16,874,688",2026-02-17
Linq,https://linqapp.com,Series A,"$20,000,000",2026-02-02
WithCoverage,https://withcoverage.com,Series B,"$42,000,000",2026-01-13
Astelia,https://www.astelia.io/,Series A,"$25,000,000",2026-02-24
BusRight,https://busright.com,Series B,"$30,000,000",2026-03-17
Visitt.io,https://www.visitt.io,Series B,"$22,000,000",2026-01-26
XFX,https://www.xfx.io/,Series A,"$17,000,000",2026-03-26
Clockwork Systems,https://clockwork.works,Series A,"$20,575,000",2025-09-10
RenoFi,https://renofi.com,Series B,"$22,000,000",2026-03-03
Ognomy Sleep,https://ognomy.com,Series A,"$14,899,628",2026-05-26
Create Wellness,https://trycreate.co,Series B,"$20,000,000",2026-03-31
Ease Health,https://easehealth.com,Series A,"$41,000,000",2026-03-02
FirmPilot,https://firmpilot.com/,Series A,"$22,000,000",2026-02-26
Legion Security,https://www.legionsecurity.ai,Series A,"$30,000,000",2025-07-30
Modus,https://www.modusalliance.com,Series A,"$85,000,000",2026-04-07
Affect,https://www.affect.com,Series B,"$26,000,000",2025-09-23
Lambent,https://www.lambentspaces.com,Series A,"$11,530,591",2026-03-24
Arpeggio Bio,https://www.arpeggiobio.com,Series A,"$20,037,075",2025-11-19
Fig Security,https://www.fig.security,Series A,"$30,000,000",2026-03-03
Rebar,https://www.withrebar.ai,Series A,"$14,000,000",2026-03-10
Koah Labs,https://www.koahlabs.com/,Series A,"$20,500,000",2026-02-24
Splash Sports,https://splashsports.com,Series B,"$14,500,000",2025-10-08
Haast,https://www.haast.io,Series A,"$12,000,000",2026-04-09
UnityAI,https://www.unityai.co,Series A,"$15,019,994",2026-03-04
Syntis Bio,https://www.syntis.bio,Series A,"$33,000,000",2025-07-01
Fellow Health,https://www.meetfellow.com,Series B,"$24,000,000",2025-07-15
Relay,https://relay.link/bridge,Series B,"$17,000,000",2026-02-06
Warp,https://www.warp.co,Series A,"$18,000,000",2025-06-18
Seifert Dynamics,https://seifertdynamics.com,Series A,"$13,400,000",2026-04-05
Humand,https://humand.co,Series A,"$77,490,412",2026-02-23
AWA Studios,https://awastudios.com/,Series B,"$7,385,000",2026-05-20
Omeza,https://omeza.com/,Series A,"$8,500,000",2026-04-21
Apella Technology,https://apella.io,Series B,"$80,000,000",2026-01-07
Dualitas Therapeutics,https://www.dualitastx.com,Series A,"$65,000,000",2025-09-16
Inito,https://www.inito.com,Series B,"$29,000,000",2025-12-10
Edra,https://edra.ai/,Series A,"$23,800,000",2026-03-18
Corsera Health,https://corserahealth.com,Series A,"$80,000,000",2026-01-07
GTE,https://gte.xyz,Series A,"$15,000,000",2025-06-23
Third Arc Bio,https://thirdarcbio.com,Series A,"$52,000,000",2026-02-04
Union.ai,https://union.ai,Series A,"$19,000,000",2026-02-25
Qurrent,https://qurrent.ai,Series A,"$15,000,000",2026-03-12
Strella,https://www.strella.io/,Series A,"$14,000,000",2025-10-16
ORAN Development Company,https://orandevco.com/,Series A,"$45,000,000",2026-03-26
MTR,https://www.mtrinc.com,Series B,"$27,000,000",2026-04-07
